DST0403*27  X220   0  -5  -6  -7  -4   1   3   3   2   8   9   3  -5  -2  -1   0  -4  -6 -20 -17 -12 -12 -15 -35 -35  -7
DST0403*28  X220   0 -29 -26 -26 -33 -38 -34 -25 -21 -25 -27 -25 -23 -19 -17 -16 -17 -18 -20 -22 -22 -19 -19 -19 -17 -23
DST0403*29  X220   0 -14 -12 -14 -16 -16 -14 -11  -6  -6 -12 -13  -8  -3  -7 -13 -14 -17 -14 -10  -9  -8  -9 -11 -10 -11
DST0403*30  X220   0  -8  -5  -5  -6  -8  -7 -10  -9  -9  -6 -12 -17 -18 -19 -20 -18 -15 -12 -12 -13 -12 -10  -9  -9 -11
DST0403*31  X220   0 -11 -11 -10  -8  -7  -5  -4   0  -2  -1  -1  -3  -4  -6  -9 -11 -13 -13 -13 -13 -10  -7  -8  -8  -7
DST0404*01  X220   0  -6  -4  -2  -2  -3  -3  -3  -1  -1   0  -2  -5  -6  -9  -7  -3  -1  -1  -3  -6  -5  -2  -1  -1  -3
DST0404*02  X220   0  -1   1   4   7   9  10   7   9  11  10   8   4   5   6   5   2   1   0   2   4   4   4   3   5   5
DST0404*03  X220   0   7   9   5  -2  -6 -11 -10 -12 -11  -7  -8  -6  -1  -6  10   5 -15 -39 -64 -80 -69 -82 -92-104 -25
DST0404*04  X220   0-117 -99 -79 -73 -68 -64 -61 -56 -50 -41 -39 -36 -25 -21 -20 -10 -14 -14 -12  -8  -8 -15 -18 -10 -40
DST0404*05  X220   0 -11  -9  -6  -4  -2  -1   0   1   4   3  -2  -3   0  -6 -17 -16 -11 -32 -51 -62 -60 -57 -57 -52 -19
DST0404*06  X220   0 -57 -57 -39 -33 -35 -50 -58 -52 -46 -44 -47 -50 -45 -47 -43 -42 -44 -47 -46 -42 -38 -37 -36 -36 -45
DST0404*07  X220   0 -33 -30 -29 -26 -26 -21 -18 -18 -17 -20 -25 -27 -25 -23 -20 -19 -22 -21 -22 -23 -20 -25 -27 -29 -24
DST0404*08  X220   0 -28 -23 -20 -18 -16 -19 -18 -18 -21 -21 -25 -24 -19 -20 -21 -21 -25 -25 -27 -24 -20 -20 -19 -11 -21
DST0404*09  X220   0  -8 -15 -14 -19 -27 -19 -10 -18 -14 -20 -16 -11  -8 -10 -13 -13 -13 -12 -13 -10  -9 -13 -12 -11 -14
DST0404*10  X220   0 -10  -9 -10  -8  -6 -10 -15 -14 -12 -16 -16 -13  -7  -5  -5  -5  -4  -3  -3  -5   1  -8 -12  -7  -8
DST0404*11  X220   0 -11 -16 -28 -22 -15 -11  -9  -4  -8  -9 -11 -11 -10  -9  -8 -10 -15 -19 -17 -15 -15 -19 -18 -17 -14
DST0404*12  X220   0 -22 -25 -20 -15 -11 -10 -17 -14  -8 -12 -11  -8  -7  -7  -9 -12 -11 -10  -2  -7  -5  -5  -7 -10 -11
DST0404*13  X220   0 -14 -15 -12  -7  -6  -8  -8  -7  -6  -8 -10  -8 -11 -13 -11 -10 -12 -11 -10 -10  -7  -8 -10  -9 -10
DST0404*14  X220   0  -9  -8  -8  -5  -3  -2  -2  -4  -4   0   0   3   3   0  -1  -3  -4  -5  -8  -9  -9  -5  -4  -1  -4
DST0404*15  X220   0  -1   0   1   1   4   7   9  12  11  13  14   6   1  -1  -3  -5  -6  -6  -7  -7  -7  -7  -8  -8   1
DST0404*16  X220   0  -6  -3   1   7   3  -1 -17 -28 -30 -30 -23 -25 -28 -26 -22 -21 -17 -19 -17 -19 -20 -19 -18 -15 -16
DST0404*17  X220   0 -13 -12 -12 -11  -9  -4  -4  -2  -2  -4  -5  -4   0   1  -1  -1  -2  -3  -7 -13 -18 -18 -11 -11  -7
DST0404*18  X220   0  -9  -9  -7  -5  -6  -9 -10  -7  -6  -7  -9 -12 -11 -14 -18 -15  -8 -10 -17 -18 -16 -14 -14 -15 -11
DST0404*19  X220   0 -15 -14 -14 -12  -7 -10 -10  -8  -8  -6  -7  -7  -4   1   2  -1  -4  -6  -6  -5  -7  -8  -8  -6  -7
DST0404*20  X220   0  -4   1   3   4   6   7   5   3  -1   0   2   4   4   5   9  11  11  14  15  17  16  16  19  17   8
DST0404*21  X220   0   7   7   9  11  10   7  10   9   8   6   4   2   0   0   2   1   3   4   2   1   5   5   5   5   5
DST0404*22  X220   0   7   8   9  11  16  15  16  14  12  14  15  15  12  14  15  14  15  17  16  16  19  18  16  15  14
DST0404*23  X220   0  14  13   7  12   9  13  19  24  16  -2   2  11   8 -13 -28 -36 -32 -26 -21 -21 -22 -28 -24 -22  -5
DST0404*24  X220   0 -19 -15 -13 -11 -11  -8  -7 -11  -7   7   0  -1   4  -4  -3  -2   0   4   3   2  -1  -5   0   0  -4
DST0404*25  X220   0   0  -2  -2   1  -3  -5  -7  -6 -15 -18 -20 -14  -8 -10 -12 -14 -12  -7  -6  -3  -2  -4  -6  -6  -8
DST0404*26  X220   0  -7  -8  -9  -8  -4  -4  -1  -1  -3  -1   0   1   0  -3  -5  -6   5   8   8   0   0   1   4   4  -1
DST0404*27  X220   0   2   2   4   7  12  16  17  15  14  12  13  15  16  18  14   8   7   5   4   6   7   7   6   2  10
DST0404*28  X220   0   2   2   5   7   9  11  13  12  12  14  15  18  19  16  13   9   2   5   3  -2  -8  -8  -8  -7   6
DST0404*29  X220   0  -7  -7  -6  -2   0  -2  -2   1   1   0   0   3   6   5   4   2   2   3   3   1   3   5   8  11   1
DST0404*30  X220   0  11   8   1  -5 -10 -15 -12  -8 -11  -7  -3  -2  -1  -2   2   7   9  16  15  16  -5 -21 -34 -23  -3
DST0405*01  X220   0 -18 -19 -31 -33 -32 -31 -24 -23 -19 -19 -14  -9  -8  -7  -6  -4  -6  -5  -4  -4  -6 -11 -13 -13 -15
DST0405*02  X220   0 -10 -12 -12  -5   1   4   6   7   7   4   9   6   6   7   3   1  -2  -2   0  -2  -2   2   1  -4   1
DST0405*03  X220   0  -7 -10  -6   1   6   6  12   8   1  -1  -1   2   6  10   9   8   9   8   5   3   5   6   9   6   4
DST0405*04  X220   0   8  12   9   0  -6  -5  -6  -2   0  -5  -3  -1  -4  -4  -4  -2  -3  -1   1   0  -3  -4  -1   0  -1
DST0405*05  X220   0   1  -3  -4  -3  -4  -5   0   0  -3 -12  -3  11  14  14   7   5   6   4  -1  -3  -1  -5  -4  -1   0
DST0405*06  X220   0   1   1  -1   0   1   1   1  -1  -5  -4  -3  -5  -4  -1  -2   1   4   6   3  -4  -3   1   3  -3  -1
DST0405*07  X220   0 -12 -13 -13 -14 -14 -12 -13 -12 -11  -6  -6  -3  -1   2  -1  -8 -11  -7  -2  -4  -6  -5  -5  -5  -8
DST0405*08  X220   0  -8  -5  -3  -2  -2   2   7   8   4  -3  -6  -5   0   0  -3  -4  -7 -10 -14 -12 -13 -10  -6   0  -4
DST0405*09  X220   0   1  -1   0   1   1  -4  -3   2   5   6   6   4   3  -1  -3  -4  -3   0   0   0   3   5   6   6   1
DST0405*10  X220   0   6   5   3   5   2   2   2   5   5   4   6   8   8   7   4   0  -1   0   2   2   2   2  11  15   4
DST0405*11  X220   0  10   6   7  11   8   3   3   5   9   9  10  13  14  13  10   8   9   9  13  10   8   3   0  -9   8
DST0405*12  X220   0 -11 -19 -23 -18 -27 -20 -13  -9 -10  -4  -2   1   1   1   0  -1  -1   1  -2  -3  -4  -1   3   3  -7
DST0405*13  X220   0   2   3   2   5   0  -7  -9  -9 -18 -17  -9  -2  -2  -3  -3  -4  -8 -14 -18 -19 -14  -9  -8 -11  -7
DST0405*14  X220   0  -9  -8  -9 -10 -14 -15  -9  -3   1   1   4   8   7   2  -2  -2   5  11   9   7  11  15  16  12   1
DST0405*15  X220   0   2 -11 -18 -17 -11 -14 -18 -17 -10  -8  -6  -3  -2  -2  -3  -5  -5  -3  -2  -2  -5  -7  -6  -8  -8
DST0405*16  X220   0  -7  -5  -4  -7  -8  -8  -7  -4  -2   0   0   2   2   1  -1  -4  -5  -3  -1   0   0  -3  -5  -1  -3
DST0405*17  X220   0   4   5   7   9  10   7   6   5   5   8  11  12  12  11  14  11   9   7   8   8   8   9   7   7   8
DST0405*18  X220   0   8  13  12  12  13  13  14  17  15  11  14  17  18  15  15  18  19  22  22  21  22  23  25  26  17
DST0405*19  X220   0  25  24  23  21  18  14  13  11  11  12  15  17  15  15  18  11   5   6   1   1   5   6   3   8  12
DST0405*20  X220   0  11  12  16  15  18  15   1  -2   7   5   0  -9  -1   2   5   4   2   1   4   4  -7 -13 -10  -5   3
DST0405*21  X220   0  -6  -1   4   1   1   0  -2  -7  -5  -2   2   3   2  -1   1   2   4   7  10   8   5   2   4   7   2
DST0405*22  X220   0   3   4   4   6   5  -2   4   4  -1   2   3   4   3   4   4   1   2   5   5   7   9  11  10  11   5
DST0405*23  X220   0  13   9  12   5   0  -4  -5  -1   3   3   7   8   8   9  10   5   3   2  -3  -3   4   2   1  -2   4
DST0405*24  X220   0   2  -2   0   3   3   4   3  -6 -11 -14  -5  -4  -9  -9  -8  -7  -5  -3  -3  -3  -1   0   2   3  -3
DST0405*25  X220   0   2   1   1   2   2  -1  -3  -3   0   0   2   2  -1  -4  -4  -4  -3  -1  -2  -3  -2   1   2   3  -1
DST0405*26  X220   0   4   5   5   5   5   6   5   6   7   8   7   6   7  10  13  12  12  12  12  10  11  15  16  16   9
DST0405*27  X220   0  15  13  11  10  12  12   9   8   7  10   9   8   7   8   8  11  11  12  13  12  14  16  18  16  11
DST0405*28  X220   0  15  11  10  11  13  14  15  15  15  15  10  10  16  17  17  16  13  10  -1 -10 -18 -25 -29 -27   6
DST0405*29  X220   0 -25 -21 -16 -19 -25 -23 -15  -9 -11  -1  -6 -14 -12  -7  -5  -3  -5   0   2   3   2  -1  -6   0  -9
DST0405*30  X220   0   0  -1  -1   0   2   5   6  10  14  13  10   3   3   6   8   8   6   2   0  -4  -8 -11 -11  -6   2
