Note: All timestamps are UT, and refer to the start of the time period.
year           : Integer Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
day            : Integer Day of Year of observation (starting from 1). Timestamp marks beginning of interval (days), Fill= -9999.9
hr             : Hour of day of observation (starting from 0). Timestamp marks beginning of interval (hours), Fill= -9999.9
min            : Minute of hour of observation (starting from 0). Timestamp marks beginning of interval (minutes), Fill= -9999.9
sec            : Second of minute of observation. Timestamp marks beginning of interval (seconds), Fill= -9999.9
fp_year        : Fractional Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
fp_doy         : Fractional Day of Year of observation. Timestamp marks beginning of interval (days), Fill= -9999.9
ACEepoch       : Epoch of observation - seconds since 00:00:00UT on Jan 1 1996. Timestamp marks beginning of interval (seconds), Fill= -9999.9
proton_density : Solar Wind Proton Number Density, scalar  (cm^-3 ), Fill= -9999.9 
proton_temp    : radial component of the proton temperature  (Kelvin ), Fill= -9999.9 
He4toprotons   : alpha to proton density ratio  (Ratio), Fill= -9999.9 
proton_speed   : Solar Wind Bulk Speed  (km/s ), Fill= -9999.9 
x_dot_GSE      : X-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
y_dot_GSE      : Y-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
z_dot_GSE      : Z-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
2004   7  5  0  0.000      2.873  4.2951e+05    0.0113    720.70   -715.14    -79.60     34.33 
2004   7  6  0  0.000      2.856  4.0682e+05    0.0115    704.39   -699.06    -71.63     42.53 
2004   7  7  0  0.000      3.521  4.7011e+05    0.0159    723.27   -716.25    -43.98     85.28 
2004   7  8  0  0.000      3.776  3.3492e+05    0.0164    674.71   -671.15      1.19     47.13 
2004   7  9  0  0.000      3.545  3.2834e+05    0.0199    635.61   -627.54     -6.61     93.15 
2004   7 10  0  0.000      3.410  3.0547e+05    0.0190    641.08   -636.83    -34.22     19.10 
2004   7 11  0  0.000      3.215  2.1521e+05    0.0185    600.51   -596.41     -3.68     66.32 
2004   7 12  0  0.000      2.177  2.4565e+05    0.0195    655.13   -654.11     19.11     19.71 
2004   7 13  0  0.000      2.150  1.7647e+05    0.0178    665.87   -665.23     19.70     -1.03 
2004   7 14  0  0.000      1.892  2.0003e+05    0.0180    674.67   -673.07     20.49     -0.71 
2004   7 15  0  0.000      2.034  1.9546e+05    0.0186    666.28   -663.35     38.86    -11.70 
2004   7 16  0  0.000      2.042  2.2351e+05    0.0184    681.04   -673.68     88.56      9.79 
2004   7 17  0  0.000      1.996  2.3696e+05    0.0151    702.06   -700.66    -15.81      0.78 
2004   7 18  0  0.000      2.173  1.7482e+05    0.0177    661.77   -660.11     21.14     -3.96 
2004   7 19  0  0.000      2.382  1.5619e+05    0.0144    645.28   -642.75     31.59     34.04 
2004   7 20  0  0.000      2.468  1.5826e+05    0.0173    641.57   -639.50     39.38      2.82 
2004   7 21  0  0.000      2.372  2.1130e+05    0.0173    666.35   -664.11     37.71    -27.11 
2004   7 22  0  0.000      2.496  1.8390e+05    0.0147    650.54   -648.89     25.65     -1.44 
2004   7 23  0  0.000      1.939  1.3384e+05    0.0178    645.86   -645.27    -19.22     13.43 
2004   8  0  0  0.000      2.330  1.3226e+05    0.0151    602.46   -601.30     17.23    -11.97 
2004   8  1  0  0.000      2.702  1.4281e+05    0.0125    593.09   -591.23     34.77    -24.50 
2004   8  2  0  0.000      2.566  1.5050e+05    0.0131    606.28   -605.32      4.88    -25.62 
2004   8  3  0  0.000      2.696  1.4625e+05    0.0132    642.42   -640.50     27.69    -35.03 
2004   8  4  0  0.000      2.899  1.5769e+05    0.0125    603.62   -601.58     19.53    -32.05 
2004   8  5  0  0.000      2.640  1.3855e+05    0.0136    609.16   -607.56      0.35    -31.39 
2004   8  6  0  0.000      2.668  1.3262e+05    0.0130    599.32   -597.09     14.97    -44.84 
2004   8  7  0  0.000      2.159  1.1501e+05    0.0186    582.57   -580.54      3.36    -43.04 
2004   8  8  0  0.000      2.039  1.2008e+05    0.0241    558.55   -557.65     -0.13    -26.00 
2004   8  9  0  0.000      1.706  8.0882e+04    0.0564    562.29   -560.97      0.89     18.90 
2004   8 10  0  0.000      1.575  1.1000e+05    0.1014    569.83   -569.04    -15.93     -8.90 
2004   8 11  0  0.000      1.815  1.0769e+05    0.0844    571.70   -570.24     -6.40     24.00 
2004   8 12  0  0.000      1.701  1.1224e+05    0.1016    550.36   -547.55     38.32    -34.21 
2004   8 13  0  0.000      1.589  9.8889e+04    0.0899    539.19   -538.50      8.01    -15.84 
2004   8 14  0  0.000      1.687  9.3830e+04    0.1223    541.53   -541.12    -13.04     -7.13 
2004   8 15  0  0.000      1.601  1.0913e+05    0.1138    525.28   -524.42     17.21     -3.29 
2004   8 16  0  0.000      1.645  1.1282e+05    0.1118    525.11   -524.70     -1.09      6.98 
2004   8 17  0  0.000      1.778  1.0948e+05    0.1321    525.22   -524.75     -5.91     -4.86 
